* This data was exported from the Dayton Audio Test System: DATS
*
* Piston Diameter = 0 mm
* f(s)= 0 Hz
* R(e)= 0 Ohms
* Z(max)= 0 Ohms
* Q(ms)= 0
* Q(es)= 0
* Q(ts)= 0
* V(as)= 0 liters     (0 cubic feet)
* L(e)= 0 mH
* n(0)= 0 %
* SPL= 0 1W/1m
* M(ms)= 0 grams
* C(ms)= 0 mm/N
* BL= 0 
* K(r)= 973.6 
* X(r)= 0.002257 
* K(i)= 0 
* X(i)= 2.218 
*
*
Freq            Impedance       Phase
104.571    	0.399    	5.375    
107.635    	0.400    	5.550    
110.789    	0.400    	5.679    
114.035    	0.401    	5.653    
117.377    	0.402    	5.865    
120.816    	0.403    	6.169    
124.356    	0.403    	6.465    
128.000    	0.401    	6.636    
131.751    	0.401    	6.707    
135.611    	0.404    	6.944    
139.585    	0.407    	7.248    
143.675    	0.407    	7.425    
147.885    	0.408    	7.612    
152.219    	0.411    	7.828    
156.679    	0.410    	8.073    
161.270    	0.410    	8.044    
165.995    	0.411    	8.382    
170.860    	0.414    	8.776    
175.866    	0.416    	9.021    
181.019    	0.417    	9.357    
186.324    	0.416    	9.431    
191.783    	0.419    	9.793    
197.403    	0.420    	10.067    
203.187    	0.424    	10.243    
209.141    	0.427    	10.563    
215.269    	0.428    	10.803    
221.577    	0.430    	11.025    
228.070    	0.430    	11.318    
234.753    	0.432    	11.611    
241.632    	0.434    	11.931    
248.712    	0.439    	12.375    
256.000    	0.440    	12.698    
263.501    	0.444    	13.102    
271.223    	0.447    	13.469    
279.170    	0.451    	13.945    
287.350    	0.453    	14.175    
295.770    	0.455    	14.490    
304.437    	0.460    	14.935    
313.358    	0.466    	15.385    
322.540    	0.469    	15.674    
331.991    	0.472    	16.018    
341.719    	0.477    	16.372    
351.732    	0.482    	16.896    
362.039    	0.487    	17.097    
372.647    	0.493    	17.717    
383.567    	0.496    	18.095    
394.806    	0.503    	18.736    
406.375    	0.510    	19.157    
418.282    	0.514    	19.592    
430.539    	0.519    	19.954    
443.155    	0.527    	20.482    
456.140    	0.535    	20.962    
469.506    	0.542    	21.447    
483.264    	0.549    	21.925    
497.424    	0.556    	22.409    
512.000    	0.564    	22.995    
527.003    	0.574    	23.554    
542.445    	0.582    	23.907    
558.340    	0.593    	24.644    
574.701    	0.601    	25.069    
591.541    	0.612    	25.576    
608.874    	0.621    	26.073    
626.715    	0.631    	26.571    
645.080    	0.644    	27.205    
663.982    	0.656    	27.731    
683.438    	0.668    	28.206    
703.464    	0.680    	28.684    
724.077    	0.693    	29.121    
745.294    	0.705    	29.679    
767.133    	0.718    	30.217    
789.612    	0.737    	30.767    
812.749    	0.754    	31.227    
836.565    	0.771    	31.836    
861.078    	0.786    	32.323    
886.309    	0.801    	32.700    
912.280    	0.818    	33.216    
939.012    	0.836    	33.725    
966.527    	0.857    	34.302    
994.849    	0.875    	34.660    
1024.000    	0.896    	35.174    
1054.005    	0.921    	35.715    
1084.890    	0.945    	36.198    
1116.680    	0.967    	36.601    
1149.401    	0.992    	37.012    
1183.081    	1.024    	37.453    
1217.748    	1.053    	37.959    
1253.431    	1.085    	38.352    
1290.159    	1.120    	38.645    
1327.964    	1.156    	38.967    
1366.876    	1.198    	39.242    
1406.929    	1.242    	39.429    
1448.155    	1.290    	39.478    
1490.589    	1.341    	39.331    
1534.266    	1.396    	39.070    
1579.224    	1.456    	38.534    
1625.499    	1.523    	37.723    
1673.129    	1.589    	36.537    
1722.156    	1.651    	34.989    
1772.619    	1.707    	32.927    
1824.561    	1.756    	30.585    
1878.024    	1.794    	27.855    
1933.055    	1.816    	24.833    
1989.697    	1.813    	21.239    
2048.000    	1.778    	17.505    
2108.011    	1.712    	14.044    
2169.780    	1.625    	10.791    
2233.360    	1.507    	7.878    
2298.802    	1.365    	5.730    
2366.162    	1.203    	4.977    
2435.496    	1.050    	6.324    
2506.862    	0.924    	9.910    
2580.318    	0.857    	15.624    
2655.927    	0.853    	22.103    
2733.752    	0.899    	27.822    
2813.857    	0.973    	32.126    
2896.309    	1.056    	35.259    
2981.178    	1.138    	37.458    
3068.533    	1.217    	38.826    
3158.448    	1.293    	39.704    
3250.997    	1.362    	40.054    
3346.259    	1.425    	40.159    
3444.312    	1.483    	40.208    
3545.238    	1.537    	40.171    
3649.121    	1.587    	40.029    
3756.049    	1.634    	39.838    
3866.109    	1.676    	39.550    
3979.395    	1.719    	39.321    
4096.000    	1.760    	39.022    
4216.022    	1.798    	38.674    
4339.561    	1.833    	38.446    
4466.720    	1.866    	38.151    
4597.605    	1.902    	37.884    
4732.325    	1.936    	37.618    
4870.992    	1.968    	37.367    
5013.723    	1.999    	37.104    
5160.637    	2.030    	36.861    
5311.855    	2.059    	36.653    
5467.504    	2.087    	36.404    
5627.714    	2.115    	36.204    
5792.619    	2.143    	35.987    
5962.355    	2.171    	35.816    
6137.066    	2.198    	35.650    
6316.896    	2.225    	35.431    
6501.995    	2.253    	35.281    
6692.518    	2.276    	35.119    
6888.623    	2.301    	34.944    
7090.476    	2.328    	34.801    
7298.242    	2.352    	34.690    
7512.097    	2.377    	34.526    
7732.218    	2.404    	34.457    
7958.790    	2.429    	34.400    
8192.000    	2.453    	34.314    
8432.044    	2.481    	34.230    
8679.122    	2.505    	34.180    
8933.439    	2.525    	34.175    
9195.209    	2.551    	34.208    
9464.649    	2.579    	34.181    
9741.985    	2.603    	34.201    
10027.447    	2.629    	34.248    
10321.273    	2.652    	34.247    
10623.710    	2.680    	34.307    
10935.008    	2.707    	34.379    
11255.428    	2.732    	34.420    
11585.238    	2.760    	34.479    
11924.711    	2.787    	34.547    
12274.132    	2.816    	34.657    
12633.791    	2.845    	34.759    
13003.989    	2.873    	34.851    
13385.035    	2.902    	35.002    
13777.247    	2.933    	35.158    
14180.951    	2.965    	35.262    
14596.485    	2.994    	35.412    
15024.194    	3.025    	35.566    
15464.437    	3.062    	35.773    
15917.579    	3.096    	35.924    
16384.000    	3.128    	36.118    
16864.088    	3.165    	36.337    
17358.243    	3.200    	36.486    
17866.879    	3.235    	36.705    
18390.418    	3.274    	36.933    
18929.299    	3.313    	37.162    
19483.969    	3.353    	37.372    
20054.893    	3.392    	37.563    
20642.546    	3.436    	37.778    
